zipcode,Average_Price
98001,280804.6906
98002,234284.0352
98003,294111.2786
98004,1355927.082
98005,810164.875
98006,859684.7791
98007,617105.0851
98008,645507.3781
98010,423665.99
98011,490351.4667
98014,455617.1129
98019,424788.7474
98022,315709.3034
98023,286732.7916
98024,580526.7901
98027,616990.5922
98028,462480.0353
98029,612653.6106
98030,296187.9805
98031,300539.8905
98032,251296.24
98033,803719.5231
98034,521652.8587
98038,366867.6
98039,2160606.6
98040,1194230.021
98042,311632.1058
98045,439471.0814
98052,645231.4564
98053,678163.0593
98055,304262.1082
98056,420890.5493
98058,353608.6352
98059,493552.5321
98065,527961.2032
98070,487479.6271
98072,569958.4652
98074,685605.7755
98075,790576.6546
98077,682774.8788
98092,334921.0627
98102,901258.2667
98103,584919.211
98105,862825.2314
98106,319581.394
98107,579053.4173
98108,355678.5161
98109,879623.6239
98112,1095499.342
98115,619900.5472
98116,618634.1697
98117,576795.0072
98118,417637.4331
98119,849448.0163
98122,634360.1793
98125,469455.7707
98126,424706.3559
98133,386997.3968
98136,551688.673
98144,594547.6501
98146,359483.2396
98148,284908.5965
98155,423725.6951
98166,464231.8386
98168,240328.3717
98177,676185.3922
98178,310612.7557
98188,289078.3456
98198,302878.8821
98199,791820.8076
